ICD-10 code;CCS group;CCS group_description
A15;1;Tuberculosis
A150;1;Tuberculosis
A151;1;Tuberculosis
A152;1;Tuberculosis
A153;1;Tuberculosis
A154;1;Tuberculosis
A155;1;Tuberculosis
A156;1;Tuberculosis
A157;1;Tuberculosis
A158;1;Tuberculosis
A159;1;Tuberculosis
A16;1;Tuberculosis
A160;1;Tuberculosis
A161;1;Tuberculosis
A162;1;Tuberculosis
A163;1;Tuberculosis
A164;1;Tuberculosis
A165;1;Tuberculosis
A167;1;Tuberculosis
A168;1;Tuberculosis
A169;1;Tuberculosis
A17;1;Tuberculosis
A170;1;Tuberculosis
A171;1;Tuberculosis
A178;1;Tuberculosis
A179;1;Tuberculosis
A18;1;Tuberculosis
A180;1;Tuberculosis
A181;1;Tuberculosis
A182;1;Tuberculosis
A183;1;Tuberculosis
A184;1;Tuberculosis
A185;1;Tuberculosis
A186;1;Tuberculosis
A187;1;Tuberculosis
A188;1;Tuberculosis
A19;1;Tuberculosis
A190;1;Tuberculosis
A191;1;Tuberculosis
A192;1;Tuberculosis
A198;1;Tuberculosis
A199;1;Tuberculosis
B90;1;Tuberculosis
B900;1;Tuberculosis
B901;1;Tuberculosis
B902;1;Tuberculosis
B908;1;Tuberculosis
B909;1;Tuberculosis
J65;1;Tuberculosis
M490;1;Tuberculosis
P370;1;Tuberculosis
A021;2;Septicemia (except in labor)
A207;2;Septicemia (except in labor)
A227;2;Septicemia (except in labor)
A267;2;Septicemia (except in labor)
A327;2;Septicemia (except in labor)
A392;2;Septicemia (except in labor)
A393;2;Septicemia (except in labor)
A394;2;Septicemia (except in labor)
A40;2;Septicemia (except in labor)
A400;2;Septicemia (except in labor)
A401;2;Septicemia (except in labor)
A402;2;Septicemia (except in labor)
A403;2;Septicemia (except in labor)
A408;2;Septicemia (except in labor)
A409;2;Septicemia (except in labor)
A41;2;Septicemia (except in labor)
A410;2;Septicemia (except in labor)
A411;2;Septicemia (except in labor)
A412;2;Septicemia (except in labor)
A413;2;Septicemia (except in labor)
A414;2;Septicemia (except in labor)
A415;2;Septicemia (except in labor)
A418;2;Septicemia (except in labor)
A419;2;Septicemia (except in labor)
A427;2;Septicemia (except in labor)
B007;2;Septicemia (except in labor)
R572;2;Septicemia (except in labor)
A20;3;"Bacterial infection; unspecified site"
A200;3;"Bacterial infection; unspecified site"
A208;3;"Bacterial infection; unspecified site"
A209;3;"Bacterial infection; unspecified site"
A21;3;"Bacterial infection; unspecified site"
A217;3;"Bacterial infection; unspecified site"
A218;3;"Bacterial infection; unspecified site"
A219;3;"Bacterial infection; unspecified site"
A22;3;"Bacterial infection; unspecified site"
A228;3;"Bacterial infection; unspecified site"
A229;3;"Bacterial infection; unspecified site"
A23;3;"Bacterial infection; unspecified site"
A230;3;"Bacterial infection; unspecified site"
A231;3;"Bacterial infection; unspecified site"
A232;3;"Bacterial infection; unspecified site"
A233;3;"Bacterial infection; unspecified site"
A238;3;"Bacterial infection; unspecified site"
A239;3;"Bacterial infection; unspecified site"
A24;3;"Bacterial infection; unspecified site"
A240;3;"Bacterial infection; unspecified site"
A241;3;"Bacterial infection; unspecified site"
A242;3;"Bacterial infection; unspecified site"
A243;3;"Bacterial infection; unspecified site"
A244;3;"Bacterial infection; unspecified site"
A25;3;"Bacterial infection; unspecified site"
A250;3;"Bacterial infection; unspecified site"
A259;3;"Bacterial infection; unspecified site"
A26;3;"Bacterial infection; unspecified site"
A268;3;"Bacterial infection; unspecified site"
A269;3;"Bacterial infection; unspecified site"
A28;3;"Bacterial infection; unspecified site"
A280;3;"Bacterial infection; unspecified site"
A281;3;"Bacterial infection; unspecified site"
A282;3;"Bacterial infection; unspecified site"
A288;3;"Bacterial infection; unspecified site"
A289;3;"Bacterial infection; unspecified site"
A30;3;"Bacterial infection; unspecified site"
A300;3;"Bacterial infection; unspecified site"
A301;3;"Bacterial infection; unspecified site"
A302;3;"Bacterial infection; unspecified site"
A303;3;"Bacterial infection; unspecified site"
A304;3;"Bacterial infection; unspecified site"
A305;3;"Bacterial infection; unspecified site"
A308;3;"Bacterial infection; unspecified site"
A309;3;"Bacterial infection; unspecified site"
A31;3;"Bacterial infection; unspecified site"
A318;3;"Bacterial infection; unspecified site"
A319;3;"Bacterial infection; unspecified site"
A32;3;"Bacterial infection; unspecified site"
A328;3;"Bacterial infection; unspecified site"
A329;3;"Bacterial infection; unspecified site"
A35;3;"Bacterial infection; unspecified site"
A36;3;"Bacterial infection; unspecified site"
A368;3;"Bacterial infection; unspecified site"
A369;3;"Bacterial infection; unspecified site"
A38;3;"Bacterial infection; unspecified site"
A39;3;"Bacterial infection; unspecified site"
A398;3;"Bacterial infection; unspecified site"
A399;3;"Bacterial infection; unspecified site"
A42;3;"Bacterial infection; unspecified site"
A421;3;"Bacterial infection; unspecified site"
A422;3;"Bacterial infection; unspecified site"
A428;3;"Bacterial infection; unspecified site"
A429;3;"Bacterial infection; unspecified site"
A43;3;"Bacterial infection; unspecified site"
A438;3;"Bacterial infection; unspecified site"
A439;3;"Bacterial infection; unspecified site"
A48;3;"Bacterial infection; unspecified site"
A482;3;"Bacterial infection; unspecified site"
A483;3;"Bacterial infection; unspecified site"
A484;3;"Bacterial infection; unspecified site"
A488;3;"Bacterial infection; unspecified site"
A49;3;"Bacterial infection; unspecified site"
A490;3;"Bacterial infection; unspecified site"
A491;3;"Bacterial infection; unspecified site"
A492;3;"Bacterial infection; unspecified site"
A493;3;"Bacterial infection; unspecified site"
A498;3;"Bacterial infection; unspecified site"
A499;3;"Bacterial infection; unspecified site"
B95;3;"Bacterial infection; unspecified site"
B96;3;"Bacterial infection; unspecified site"
I00;3;"Bacterial infection; unspecified site"
I029;3;"Bacterial infection; unspecified site"
U80;3;"Bacterial infection; unspecified site"
U81;3;"Bacterial infection; unspecified site"
U89;3;"Bacterial infection; unspecified site"
B35;4;Mycoses
B350;4;Mycoses
B351;4;Mycoses
B352;4;Mycoses
B353;4;Mycoses
B354;4;Mycoses
B355;4;Mycoses
B356;4;Mycoses
B358;4;Mycoses
B359;4;Mycoses
